review_id,product_name,rating,review_date,review_text
R001,HydraGlow Daily Moisturizer,2,2026-04-01,"This moisturizer made my face red and itchy after two uses. I have sensitive skin and it felt too harsh."
R002,HydraGlow Daily Moisturizer,3,2026-04-02,"It feels very greasy and takes a long time to absorb. My skin looked shiny for hours."
R003,HydraGlow Daily Moisturizer,1,2026-04-03,"The product caused burning around my cheeks. I stopped using it after one day."
R004,HydraGlow Daily Moisturizer,4,2026-04-04,"The texture is rich and hydrating, but the fragrance is stronger than I expected."
R005,HydraGlow Daily Moisturizer,2,2026-04-05,"The bottle leaked during shipping and some product was wasted before I opened it."
R006,HydraGlow Daily Moisturizer,5,2026-04-06,"It works well for dry skin and kept my face soft overnight."
R007,HydraGlow Daily Moisturizer,2,2026-04-07,"I wanted something lightweight, but this felt oily and heavy on my face."
R008,HydraGlow Daily Moisturizer,3,2026-04-08,"The smell is too strong. The moisturizer itself is okay, but I would prefer fragrance-free."
R009,HydraGlow Daily Moisturizer,1,2026-04-09,"My skin became irritated and red. I would not recommend it for sensitive skin."
R010,HydraGlow Daily Moisturizer,4,2026-04-10,"Good hydration, but the pump is hard to use and sometimes gets stuck."
R011,HydraGlow Daily Moisturizer,2,2026-04-11,"It leaves a greasy layer and does not absorb quickly."
R012,HydraGlow Daily Moisturizer,3,2026-04-12,"The packaging looks nice, but the cap was loose and there was some leakage."
R013,HydraGlow Daily Moisturizer,5,2026-04-13,"Very moisturizing and comfortable for nighttime use."
R014,HydraGlow Daily Moisturizer,2,2026-04-14,"This made my face sting. I think it may be too strong for sensitive skin."
R015,HydraGlow Daily Moisturizer,3,2026-04-15,"I like the hydration, but the fragrance and greasy finish make it hard to use during the day."
